recstat,inout,trhsloc,typeofid,explnstp,othpers,sumissue,offunif,officrid,frisked,searched,contrabn,pistol,riflshot,asltweap,knifcuti,othrweap,radio,ac_rept,ac_inves,rf_vcrim,rf_othsw,ac_proxm,rf_attir,cs_objcs,cs_descr,cs_casng,cs_lkout,rf_vcact,cs_cloth,cs_drgtr,ac_evasv,ac_assoc,cs_furtv,rf_rfcmp,ac_cgdir,rf_verbl,cs_vcrim,cs_bulge,cs_other,ac_incid,ac_time,rf_knowl,ac_stsnd,ac_other,sb_hdobj,sb_outln,sb_admis,sb_other,rf_furt,rf_bulg,offverb,offshld,sex,race,haircolr,eyecolor,build,addrtyp,city,sector,beat,dettypcm,month,year,meters,age,arstmade_cod,violencia
A,I,P,P,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,M,P,BK,BR,M,L,BRONX,E,U,CM,6,2009,1.6764,17,0,1
1,O,P,V,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,M,Q,BR,BR,M,L,MANHATTAN,E,U,CM,6,2009,1.8288,23,0,0
A,O,U,V,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,Y,N,N,N,M,Q,BK,BR,M,L,BROOKLYN,F,U,CM,1,2009,1.778,16,0,1
1,O,P,P,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,M,Q,BR,BR,M,L,BRONX,E,U,CM,3,2009,1.8542,34,0,0
A,O,P,P,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,M,B,BK,BK,T,L,BROOKLYN,A,3,CM,8,2009,1.778,28,1,0
1,I,H,P,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,M,B,BR,BR,T,L,MANHATTAN,U,U,CM,11,2009,1.7018,17,1,1
A,O,P,P,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,M,B,BK,BR,M,L,QUEENS,I,22,CM,11,2009,1.7272,47,1,1
1,O,P,P,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,M,B,BK,BR,M,L,BRONX,I,9,CM,10,2009,1.778,33,0,0
A,O,P,V,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,M,Q,BK,BK,M,L,BROOKLYN,G,2,CM,5,2009,1.6256,29,0,1
A,O,P,P,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,Y,Y,M,B,BK,BR,M,L,QUEENS,C,U,CM,3,2009,1.8034,15,1,1
A,O,P,P,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,M,W,BK,BR,M,L,BRONX,F,U,CM,1,2009,1.8034,19,0,0
A,O,P,P,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,M,Q,BR,GR,M,L,QUEENS,J,U,CM,3,2009,1.778,24,0,0
A,O,P,V,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,Q,BR,BR,H,L,QUEENS,G,U,CM,9,2009,1.8288,22,0,0
A,O,P,V,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,M,B,BK,BR,T,L,MANHATTAN,J,U,CM,6,2009,1.7272,20,0,0
A,O,P,V,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,M,B,BK,BR,H,L,BROOKLYN,Q,15,CM,10,2009,1.7526000000000002,39,0,1
A,I,P,P,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,M,B,BK,BR,M,L,MANHATTAN,A,U,CM,3,2009,1.7018,22,0,0
1,O,H,P,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,M,B,BK,BR,M,L,BRONX,C,U,CM,4,2009,1.6256,27,0,1
1,O,H,V,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,M,B,BK,BR,H,L,BROOKLYN,H,8,CM,8,2009,1.8288,23,0,0
A,O,P,P,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,M,W,GY,BR,M,L,BROOKLYN,A,U,CM,3,2009,1.8034,66,0,0
A,O,P,V,Y,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,M,B,BK,BR,M,L,QUEENS,B,U,CM,11,2009,1.8034,23,0,0
1,I,H,P,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,M,B,BK,BR,M,L,STATEN ISLAND,T,U,CM,7,2009,1.778,17,0,1
A,O,P,O,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,M,W,BR,BR,T,L,BROOKLYN,C,12,CM,11,2009,1.7526000000000002,28,0,0
A,O,P,V,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,M,B,BK,BR,T,L,MANHATTAN,K,9,CM,2,2009,1.6256,15,0,0
A,I,P,P,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,M,B,BK,BR,M,L,MANHATTAN,F,13,CM,9,2009,1.6764,53,0,1
1,I,P,V,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,M,B,BK,BR,T,L,BROOKLYN,N,U,CM,8,2009,1.778,22,1,1
A,O,P,P,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,M,W,BR,BR,T,L,QUEENS,J,U,CM,9,2009,1.7272,19,0,0
1,O,H,V,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,M,I,BK,BR,M,L,QUEENS,F,U,CM,10,2009,1.7272,16,0,0
1,O,H,V,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,M,Q,BK,BR,T,L,BROOKLYN,A,10,CM,9,2009,1.8034,21,0,0
A,O,P,V,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,M,B,BK,BR,T,L,BROOKLYN,G,U,CM,5,2009,1.7526000000000002,19,0,0
A,O,P,O,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,M,B,BK,BR,M,L,BROOKLYN,J,13,CM,2,2009,1.7272,39,0,0
A,O,P,P,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,Y,Y,M,B,BK,BR,M,L,BROOKLYN,B,18,CM,11,2009,1.905,33,0,0
A,O,P,P,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,M,W,BK,BR,T,L,MANHATTAN,H,U,CM,5,2009,1.778,26,0,0
A,O,P,V,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,M,Q,BR,BR,M,L,STATEN ISLAND,P,U,CM,9,2009,1.778,32,0,0
A,O,P,V,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,M,B,BK,BK,T,L,BROOKLYN,A,2,CM,6,2009,1.7526000000000002,33,0,0
A,O,P,P,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,M,B,BK,BR,M,L,BROOKLYN,Q,15,CM,11,2009,1.7526000000000002,27,0,0
A,O,P,P,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,M,B,BK,BR,M,L,BROOKLYN,F,U,CM,10,2009,1.7272,20,0,0
A,O,P,P,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,Y,Y,M,W,BL,HA,T,L,QUEENS,F,U,CM,8,2009,1.7272,21,0,0
A,O,P,V,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,Y,Y,Y,M,B,BK,BR,M,L,BROOKLYN,G,U,CM,7,2009,1.778,18,0,0
A,I,H,P,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,M,B,BR,BR,M,L,MANHATTAN,K,9,CM,1,2009,1.905,20,0,1
A,O,P,P,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,M,Q,BK,BR,T,L,QUEENS,C,U,CM,5,2009,1.8288,33,0,0
A,I,P,P,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,M,I,BK,BR,T,L,QUEENS,H,U,CM,4,2009,1.778,53,0,0
1,I,T,P,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,Y,Y,M,B,BK,BR,M,L,MANHATTAN,D,U,CM,3,2009,1.8796,42,0,0
A,O,P,P,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,M,B,BK,BR,T,L,BRONX,E,11,CM,8,2009,1.8288,33,0,0
A,O,P,V,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,Y,Y,M,B,BK,BR,M,L,QUEENS,F,U,CM,11,2009,1.8288,999,0,0
A,O,P,P,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,Y,Y,M,Q,BK,BR,Z,L,QUEENS,C,U,CM,8,2009,1.8288,29,0,0
A,O,P,V,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,M,B,BK,BR,M,L,BROOKLYN,K,2,CM,12,2009,1.778,21,0,0
1,I,T,V,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,M,B,BK,BR,T,L,BROOKLYN,C,10,CM,11,2009,1.8542,17,0,1
1,I,H,V,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,M,B,BK,BR,M,L,QUEENS,A,U,CM,9,2009,1.4732,26,0,0
A,O,P,V,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,M,W,BR,BL,T,L,QUEENS,A,U,CM,10,2009,1.524,24,0,0
1,I,H,O,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,F,Q,BL,BL,H,L,BROOKLYN,F,U,CM,7,2009,1.6256,40,0,0
1,O,P,V,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Z,B,BR,BR,M,L,MANHATTAN,U,U,CM,10,2009,1.6510000000000002,21,0,0
1,I,H,P,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,M,B,BR,BR,M,L,MANHATTAN,F,U,CM,9,2009,1.8542,21,0,0
A,O,P,V,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,B,BK,BR,M,L,BROOKLYN,C,U,CM,9,2009,1.7018,19,0,0
1,I,T,V,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,M,B,SP,BR,M,L,MANHATTAN,B,10,CM,5,2009,1.8796,41,0,0
A,O,P,V,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,M,Q,BK,BR,T,L,QUEENS,D,U,CM,6,2009,1.6256,25,0,0
A,O,P,V,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,F,W,BR,BR,T,L,BROOKLYN,F,5,CM,9,2009,1.6510000000000002,22,0,0
1,O,P,P,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,M,B,BK,BR,M,L,BRONX,J,U,CM,10,2009,1.7272,23,0,0
A,O,P,V,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,M,W,BK,BR,T,L,QUEENS,K,U,CM,9,2009,1.7272,25,0,1
1,I,H,P,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,N,M,B,BK,BR,T,L,MANHATTAN,E,U,CM,9,2009,1.6510000000000002,17,0,1
A,O,P,P,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,M,W,BR,BR,M,L,BROOKLYN,J,U,CM,2,2009,1.8034,48,0,0
A,O,P,V,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,M,P,BR,BR,M,L,BRONX,H,4,CM,4,2009,1.6764,28,0,0
A,O,P,V,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,M,P,BK,BR,M,L,MANHATTAN,K,9,CM,7,2009,1.778,25,0,1
A,O,P,V,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,M,Q,BK,BK,M,L,BRONX,I,U,CM,6,2009,1.6764,50,0,1
A,O,P,V,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,M,Q,BR,BR,M,L,QUEENS,E,U,CM,9,2009,1.7272,22,0,0
A,O,P,P,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,B,BK,BR,M,L,MANHATTAN,A,5,CM,5,2009,1.778,21,0,0
1,I,P,V,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,B,BR,BR,T,L,STATEN ISLAND,Q,U,CM,8,2009,1.6002,20,0,0
A,O,P,P,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,M,Z,BK,BR,M,L,MANHATTAN,A,U,CM,2,2009,1.5748000000000002,46,0,0
1,O,H,P,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,B,BK,BR,T,L,BRONX,F,U,CM,1,2009,1.8796,21,0,0
1,I,T,P,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,M,B,BA,BR,M,L,BRONX,A,U,CM,1,2009,1.7526000000000002,55,0,0
A,O,P,V,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,M,W,BR,BR,M,L,BROOKLYN,J,10,CM,9,2009,1.778,25,0,0
A,O,P,R,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,M,P,BK,BR,H,L,MANHATTAN,A,4,CM,4,2009,1.8288,24,0,0
1,I,T,V,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,Q,BK,BR,T,L,MANHATTAN,A,4,CM,9,2009,1.8542,46,0,0
A,O,P,V,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,M,B,BK,BR,T,L,BROOKLYN,E,6,CM,9,2009,1.8034,21,0,0
A,O,U,P,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,M,B,BK,BR,M,L,BROOKLYN,P,9,CM,1,2009,1.7272,43,0,1
1,O,U,P,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,M,W,BR,BR,T,L,QUEENS,K,U,CM,1,2009,1.6002,14,0,0
1,O,H,R,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Z,B,BK,BR,M,L,QUEENS,N,U,CM,10,2009,1.8034,19,0,0
A,I,P,P,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,M,B,BK,BR,T,L,BROOKLYN,J,24,CM,3,2009,1.6510000000000002,14,0,0
A,O,P,P,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,M,W,BR,BL,M,L,QUEENS,I,U,CM,9,2009,1.7272,18,0,0
A,O,P,P,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,M,Z,BK,BR,M,L,QUEENS,G,U,CM,11,2009,1.7018,23,0,0
A,O,P,V,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,M,B,BK,BR,M,L,BROOKLYN,B,2,CM,8,2009,1.8288,30,0,0
1,O,P,P,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,M,A,BK,BR,M,L,MANHATTAN,U,U,CM,12,2009,1.7018,34,0,0
1,I,T,V,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,M,B,GY,BR,M,L,MANHATTAN,C,U,CM,7,2009,1.8034,55,0,0
A,O,P,V,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,M,B,BK,BR,M,L,BRONX,E,U,CM,3,2009,1.6510000000000002,17,0,0
A,O,P,P,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,M,B,BK,BR,H,L,BROOKLYN,A,3,CM,5,2009,1.6764,30,0,1
A,O,P,P,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,M,Q,BK,BK,M,L,STATEN ISLAND,C,U,CM,2,2009,1.6764,37,0,0
