recstat,inout,trhsloc,typeofid,explnstp,othpers,sumissue,offunif,officrid,frisked,searched,contrabn,pistol,riflshot,asltweap,knifcuti,othrweap,radio,ac_rept,ac_inves,rf_vcrim,rf_othsw,ac_proxm,rf_attir,cs_objcs,cs_descr,cs_casng,cs_lkout,rf_vcact,cs_cloth,cs_drgtr,ac_evasv,ac_assoc,cs_furtv,rf_rfcmp,ac_cgdir,rf_verbl,cs_vcrim,cs_bulge,cs_other,ac_incid,ac_time,rf_knowl,ac_stsnd,ac_other,sb_hdobj,sb_outln,sb_admis,sb_other,rf_furt,rf_bulg,offverb,offshld,sex,race,haircolr,eyecolor,build,addrtyp,city,sector,beat,dettypcm,month,year,meters,age,arstmade_cod,violencia
1,I,T,V,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,M,B,BK,BK,M,L,QUEENS,F,U,CM,6,2009,1.7272,21,0,0
1,I,T,V,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,M,B,BK,BR,M,L,MANHATTAN,C,7,CM,12,2009,1.7272,41,0,0
1,I,H,V,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,M,P,BK,BR,T,L,BRONX,A,U,CM,10,2009,1.7018,20,0,0
A,I,P,P,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,B,BK,BR,M,L,BROOKLYN,I,25,CM,5,2009,1.8034,44,0,0
A,O,P,V,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,M,B,BK,BR,M,L,MANHATTAN,G,U,CM,4,2009,1.8034,16,0,0
1,O,H,V,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,B,BK,BR,M,L,QUEENS,N,U,CM,1,2009,1.6764,17,0,0
A,O,P,P,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,M,B,BK,BR,M,L,BROOKLYN,H,U,CM,5,2009,1.778,22,0,1
A,O,P,P,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,M,B,BK,BR,M,L,QUEENS,P,U,CM,3,2009,1.778,28,0,0
1,O,P,P,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,M,Q,BK,BR,M,L,MANHATTAN,A,U,CM,8,2009,1.7272,26,0,1
1,O,P,V,Y,Y,N,N,N,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,M,W,BL,GR,U,L,QUEENS,B,U,CM,4,2009,1.7018,18,1,1
A,O,P,P,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,M,A,BK,BR,M,L,QUEENS,G,U,CM,4,2009,1.8034,18,0,0
A,O,P,V,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,M,W,BL,BL,M,L,QUEENS,D,U,CM,3,2009,1.778,15,0,0
1,I,T,P,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,M,Q,BR,BR,M,L,BRONX,D,1,CM,8,2009,1.6510000000000002,20,0,0
